Categories,SubCategories,DetailsCategories,Expense Keyword
Loans and Liabilities,Credit Card-ASB-MJ ,Credit Card-ASB-MJ ,
Loans and Liabilities,Mortgage-8Denning ,Mortgage-8Denning ,
Loans and Liabilities,Mortgage-5BCleary,Mortgage-5BCleary,
Loans and Liabilities,Mortgage-24Panorama ,Mortgage-24Panorama ,
Internal Transactions,ASB,Internal ,PAYMENT RECEIVED THANK YOU | EX 12-3057- 0187746-01 | TO 12-3057- 0187746-01 | TO 12-3057- 0187746-01 anz | TO CARD 1588  THANK YOU
Internal Transactions,ASB,WITHDRAWAL,CASH ADVANCE WITHDRAWAL | Lunn Ave Branch
Internal Transactions,ANZ,Internal ,88590868-1001 | 88590868-1002 | 88590868-1003 | Sam Kiwibank | Mj Asb | S Taebi
Internal Transactions,KiwiBank,Internal ,38-9016-0440511-00 | 38-9016-0440511-01 | 38-9016-0440511-10 | TRANSFER TO S TAEBI - 00  | TRANSFER FROM S TAEBI - 00 |  TRANSFER TO S M ALAVI  S TAEBI - 00 | FROM S M ALAVI  S TAEBI | TFR FROM 1811371I9 | TRF 4833481054851016 | TRANSFER FROM S TAEBI - 01 | TRANSFER TO S TAEBI - 01 | TRF 4327420538275015 | TRF 4833481054851040 | AP# HSBC
Internal Transactions,KiwiBank,WITHDRAWAL,CASH ADVANCE
Income,Salary,MJ,Bidfood Limited
Income,Salary,SAM,Salary KIWIBANK FORTNIGHT
Income,Cash,Cash,ATM DEPOSIT
Saving,KiwiBank,KiwiBank,CASH CONTRIBUTION | HSBC | INTEREST CREDIT 
